"id_legislatura","id_diputado","nombre","fecha","url"
10,315,"Camps Devesa,Gerardo","20111207","http://www.congreso.es/docbienes/leg10/000193/000193_000_e_0000861_20111207.pdf"
10,219,"Campuzano i Canadés,Carles","20111201","http://www.congreso.es/docbienes/leg10/000132/000132_000_e_0000602_20111201.pdf"
10,56,"Candón Adán,Alfonso","20111212","http://www.congreso.es/docbienes/leg10/000232/000232_000_e_0000969_20111212.pdf"
10,56,"Candón Adán,Alfonso","20120221","http://www.congreso.es/docbienes/leg10/000232/000232_001_e_0005776_20120221.pdf"
10,383,"Canongia Gerona,Joan","20130910","http://www.congreso.es/docbienes/leg10/000384/000384_000_e_0076927_20130910.pdf"
10,282,"Cantó García del Moral,Antonio","20111213","http://www.congreso.es/docbienes/leg10/000256/000256_000_e_0001024_20111213.pdf"
10,266,"Carcedo Roces,María Luisa","20111205","http://www.congreso.es/docbienes/leg10/000164/000164_000_e_0000724_20111205.pdf"
10,266,"Carcedo Roces,María Luisa","20130516","http://www.congreso.es/docbienes/leg10/000164/000164_001_e_0061152_20130516.pdf"
10,266,"Carcedo Roces,María Luisa","20130528","http://www.congreso.es/docbienes/leg10/000164/000164_001_e_0062524_20130528.pdf"
10,249,"Carreño Fernández,María Ascensión","20120321","http://www.congreso.es/docbienes/leg10/000351/000351_000_e_0009121_20120321.pdf"
10,7,"Casado Blanco,Pablo","20120214","http://www.congreso.es/docbienes/leg10/000254/000254_000_e_0005183_20120214.pdf"
10,213,"Castellano Ramón,Helena","20111201","http://www.congreso.es/docbienes/leg10/000126/000126_000_e_0000584_20111201.pdf"
10,256,"Castillo Calvín,José Miguel","20111202","http://www.congreso.es/docbienes/leg10/000156/000156_000_e_0000696_20111202.pdf"
10,23,"Centella Gómez,José Luis","20111227","http://www.congreso.es/docbienes/leg10/000294/000294_000_e_0001587_20111227.pdf"
10,252,"Chaves González,Manuel María","20111202","http://www.congreso.es/docbienes/leg10/000152/000152_000_e_0000683_20111202.pdf"
10,236,"Cid Muñoz,Margarita del Carmen del","20111202","http://www.congreso.es/docbienes/leg10/000141/000141_000_e_0000646_20111202.pdf"
10,329,"Císcar Casabán,Ciprià","20111209","http://www.congreso.es/docbienes/leg10/000212/000212_000_e_0000916_20111209.pdf"
10,197,"Ciuró i Buldó,Lourdes","20111223","http://www.congreso.es/docbienes/leg10/000115/000115_000_e_0001430_20111223.pdf"
